input,target
action: stop landmark: elevator,"Stop here. The elevator is directly in front of you."
action: turn direction: left distance: 8 steps,"Turn left and walk for 8 steps."
action: continue distance: 35 steps,"Take 35 steps straight ahead."
action: turn direction: right distance: 22 steps,"Turn right and take 22 steps."
action: continue distance: 60 steps landmark: elevator,"Walk straight for 60 steps towards the elevator bank."
action: stop landmark: elevator,"You have arrived at the elevator bank. Stop here."
action: continue distance: 15 steps,"Walk forward for 15 steps."
action: turn direction: left distance: 14 steps,"Turn left and take 14 steps."
action: continue distance: 28 steps landmark: elevator,"Continue 28 steps straight to the elevator bank."
action: stop landmark: elevator,"Stop. The elevator bank is located here."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: continue distance: 42 steps,"Walk straight for 42 steps."
action: turn direction: left distance: 20 steps,"Turn left and take 20 steps."
action: continue distance: 18 steps landmark: elevator,"Walk 18 steps straight to reach the elevator."
action: stop landmark: elevator,"Stop. You are now at the elevator bank."
action: turn direction: right distance: 33 steps,"Turn right and walk for 33 steps."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: turn direction: left distance: 25 steps,"Turn left and take 25 steps."
action: continue distance: 55 steps landmark: elevator,"Walk straight for 55 steps to the elevator."
action: stop landmark: elevator,"Arrival at the elevator bank. Stop."
action: continue distance: 40 steps,"Walk forward for 40 steps."
action: turn direction: right distance: 18 steps,"Turn right and walk for 18 steps."
action: continue distance: 32 steps landmark: elevator,"Walk straight for 32 steps to the elevator bank."
action: stop landmark: elevator,"Stop here. You have reached the elevator."
action: turn direction: left distance: 5 steps,"Turn left and walk for 5 steps."
action: continue distance: 65 steps,"Continue straight for 65 steps."
action: turn direction: right distance: 9 steps,"Turn right and take 9 steps."
action: continue distance: 27 steps landmark: elevator,"Walk 27 steps straight to reach the elevator."
action: stop landmark: elevator,"You have reached the elevator bank. Stop."
action: continue distance: 12 steps,"Walk straight for 12 steps."
action: turn direction: left distance: 19 steps,"Turn left and walk for 19 steps."
action: continue distance: 48 steps landmark: elevator,"Continue straight for 48 steps to the elevator bank."
action: stop landmark: elevator,"Stop. The elevator is in front of you."
action: turn direction: right distance: 30 steps,"Turn right and take 30 steps."
action: continue distance: 14 steps,"Walk forward for 14 steps."
action: turn direction: left distance: 11 steps,"Turn left and walk for 11 steps."
action: continue distance: 38 steps landmark: elevator,"Walk straight for 38 steps to reach the elevator bank."
action: stop landmark: elevator,"Stop here. You are at the elevator bank."
action: continue distance: 70 steps landmark: elevator,"Walk straight for 70 steps to the elevator bank."
action: turn direction: right distance: 20 steps,"Turn right and take 20 steps."
action: continue distance: 15 steps landmark: elevator,"Walk straight for 15 steps to reach the elevator."
action: stop landmark: elevator,"You have arrived. Stop at the elevator bank."
action: board direction: up landmark: elevator,"Step into the elevator and press the button for the 3rd floor."
action: board direction: up landmark: elevator,"Enter the elevator and select floor 3."
action: board direction: up landmark: elevator,"Board the elevator and push the button for the 3rd floor."
action: board direction: up landmark: elevator,"Go inside the elevator and press 3."
action: board direction: up landmark: elevator,"Step inside the elevator and choose the 3rd floor."
action: board direction: up landmark: elevator,"Walk into the elevator and press the button for floor 3."
action: board direction: up landmark: elevator,"Enter the elevator and select the button for the 3rd floor."
action: board direction: up landmark: elevator,"Get into the elevator and press the 3rd floor button."
action: board direction: up landmark: elevator,"Step inside and press the 3rd floor button in the elevator."
action: board direction: up landmark: elevator,"Enter the elevator and press level 3."
action: stop landmark: elevator,"Stop here. You are at the elevator."
action: stop landmark: elevator,"Stop. The elevator is directly in front of you."
action: stop landmark: elevator,"Stop. You have reached the elevator."
action: stop landmark: elevator,"Stop at the elevator."
action: stop landmark: elevator,"Please stop here at the elevator entrance."
action: continue distance: 2 steps landmark: elevator,"Walk forward 2 steps to the elevator."
action: continue distance: 3 steps landmark: elevator,"Take 3 steps forward to reach the elevator."
action: continue distance: 4 steps landmark: elevator,"Continue straight for 4 steps to the elevator."
action: continue distance: 5 steps landmark: elevator,"Walk straight for 5 steps to the elevator."
action: continue distance: 6 steps landmark: elevator,"Walk 6 steps ahead to the elevator."
action: continue distance: 7 steps landmark: elevator,"Continue for 7 steps to reach the elevator."
action: continue distance: 8 steps landmark: elevator,"Walk forward 8 steps to the elevator."
action: continue distance: 9 steps landmark: elevator,"Walk 9 steps straight to the elevator."
action: continue distance: 10 steps landmark: elevator,"Walk 10 steps forward to the elevator."
action: continue distance: 11 steps landmark: elevator,"Take 11 steps forward to the elevator."
action: turn direction: left distance: 2 steps landmark: elevator,"Turn left and walk 2 steps to the elevator."
action: turn direction: left distance: 3 steps landmark: elevator,"Turn left and take 3 steps to the elevator."
action: turn direction: left distance: 4 steps landmark: elevator,"Turn left and walk 4 steps to reach the elevator."
action: turn direction: left distance: 5 steps landmark: elevator,"Turn left and continue for 5 steps to the elevator."
action: turn direction: left distance: 6 steps landmark: elevator,"Turn left and walk 6 steps to the elevator."
action: turn direction: right distance: 2 steps landmark: elevator,"Turn right and walk 2 steps to the elevator."
action: turn direction: right distance: 3 steps landmark: elevator,"Turn right and walk 3 steps to reach the elevator."
action: turn direction: right distance: 4 steps landmark: elevator,"Turn right and take 4 steps to the elevator."
action: turn direction: right distance: 5 steps landmark: elevator,"Turn right and walk 5 steps to the elevator."
action: turn direction: right distance: 6 steps landmark: elevator,"Turn right and walk 6 steps to the elevator."
action: board direction: up landmark: elevator,"Step into the elevator and hit the button for floor 3."
action: board direction: up landmark: elevator,"Enter the elevator and press the 3rd floor on the panel."
action: board direction: up landmark: elevator,"Walk inside the elevator and press level 3 on the keypad."
action: board direction: up landmark: elevator,"Enter the elevator and choose floor 3."
action: board direction: up landmark: elevator,"Step into the elevator and select the 3rd floor button."
action: continue distance: 12 steps landmark: elevator,"Walk 12 steps forward to reach the elevator."
action: continue distance: 15 steps landmark: elevator,"Continue straight for 15 steps to the elevator."
action: turn direction: left distance: 10 steps landmark: elevator,"Turn left and walk 10 steps to the elevator."
action: turn direction: right distance: 10 steps landmark: elevator,"Turn right and walk 10 steps to the elevator."
action: board direction: up landmark: elevator,"Step inside the elevator and push 3."
action: board direction: up landmark: elevator,"Enter the elevator and press the number 3 button."
action: stop landmark: elevator,"Stop. You are standing in front of the elevator."
action: continue distance: 1 step landmark: elevator,"Walk forward 1 step to the elevator."
action: turn direction: left distance: 1 step landmark: elevator,"Turn left and walk 1 step to the elevator."
action: turn direction: right distance: 1 step landmark: elevator,"Turn right and walk 1 step to the elevator."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: straight distance: 6 steps landmark: elevator,"Exit the elevator and walk straight for 6 steps."
action: exit direction: straight distance: 7 steps landmark: elevator,"Exit the elevator and walk straight for 7 steps."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and walk straight for 8 steps."
action: exit direction: straight distance: 9 steps landmark: elevator,"Exit the elevator and walk straight for 9 steps."
action: exit direction: straight distance: 10 steps landmark: elevator,"Exit the elevator and walk straight for 10 steps."
action: exit direction: straight distance: 11 steps landmark: elevator,"Exit the elevator and walk straight for 11 steps."
action: exit direction: straight distance: 12 steps landmark: elevator,"Exit the elevator and walk straight for 12 steps."
action: exit direction: straight distance: 13 steps landmark: elevator,"Exit the elevator and walk straight for 13 steps."
action: exit direction: straight distance: 14 steps landmark: elevator,"Exit the elevator and walk straight for 14 steps."
action: exit direction: straight distance: 15 steps landmark: Zara,"Exit the elevator and walk straight for 15 steps to Zara."
action: exit direction: straight distance: 16 steps landmark: Sephora,"Exit the elevator and walk straight for 16 steps to Sephora."
action: exit direction: straight distance: 17 steps landmark: elevator,"Exit the elevator and walk straight for 17 steps."
action: exit direction: straight distance: 18 steps landmark: H&M,"Exit the elevator and walk straight for 18 steps to reach H&M."
action: exit direction: straight distance: 19 steps landmark: elevator,"Exit the elevator and walk straight for 19 steps."
action: exit direction: straight distance: 20 steps landmark: Apple Store,"Exit the elevator and walk straight for 20 steps to the Apple Store."
action: exit direction: straight distance: 21 steps landmark: elevator,"Exit the elevator and walk straight for 21 steps."
action: exit direction: straight distance: 22 steps landmark: washroom,"Exit the elevator and walk straight for 22 steps to the washroom."
action: exit direction: straight distance: 23 steps landmark: elevator,"Exit the elevator and walk straight for 23 steps."
action: exit direction: straight distance: 24 steps landmark: Uniqlo,"Exit the elevator and walk straight for 24 steps to reach Uniqlo."
action: exit direction: straight distance: 25 steps landmark: elevator,"Exit the elevator and walk straight for 25 steps."
action: exit direction: straight distance: 26 steps landmark: Nike,"Exit the elevator and walk straight for 26 steps to the Nike store."
action: exit direction: straight distance: 27 steps landmark: elevator,"Exit the elevator and walk straight for 27 steps."
action: exit direction: straight distance: 28 steps landmark: Adidas,"Exit the elevator and walk straight for 28 steps to Adidas."
action: exit direction: straight distance: 29 steps landmark: elevator,"Exit the elevator and walk straight for 29 steps."
action: exit direction: straight distance: 30 steps landmark: Food Court,"Exit the elevator and walk straight for 30 steps to the food court."
action: exit direction: straight distance: 31 steps landmark: elevator,"Exit the elevator and walk straight for 31 steps."
action: exit direction: straight distance: 32 steps landmark: Cinema,"Exit the elevator and walk straight for 32 steps to the cinema."
action: exit direction: straight distance: 33 steps landmark: elevator,"Exit the elevator and walk straight for 33 steps."
action: exit direction: straight distance: 34 steps landmark: Starbucks,"Exit the elevator and walk straight for 34 steps to reach Starbucks."
action: exit direction: straight distance: 35 steps landmark: elevator,"Exit the elevator and walk straight for 35 steps."
action: exit direction: straight distance: 36 steps landmark: LEGO Store,"Exit the elevator and walk straight for 36 steps to the LEGO Store."
action: exit direction: straight distance: 37 steps landmark: elevator,"Exit the elevator and walk straight for 37 steps."
action: exit direction: straight distance: 38 steps landmark: Game Stop,"Exit the elevator and walk straight for 38 steps to Game Stop."
action: exit direction: straight distance: 39 steps landmark: elevator,"Exit the elevator and walk straight for 39 steps."
action: exit direction: straight distance: 40 steps landmark: Gap,"Exit the elevator and walk straight for 40 steps to the Gap."
action: exit direction: straight distance: 41 steps landmark: elevator,"Exit the elevator and walk straight for 41 steps."
action: exit direction: straight distance: 42 steps landmark: Old Navy,"Exit the elevator and walk straight for 42 steps to Old Navy."
action: exit direction: straight distance: 43 steps landmark: elevator,"Exit the elevator and walk straight for 43 steps."
action: exit direction: straight distance: 44 steps landmark: Pandora,"Exit the elevator and walk straight for 44 steps to reach Pandora."
action: exit direction: straight distance: 45 steps landmark: elevator,"Exit the elevator and walk straight for 45 steps."
action: exit direction: straight distance: 46 steps landmark: Lush,"Exit the elevator and walk straight for 46 steps to Lush."
action: exit direction: straight distance: 47 steps landmark: elevator,"Exit the elevator and walk straight for 47 steps."
action: exit direction: straight distance: 48 steps landmark: Foot Locker,"Exit the elevator and walk straight for 48 steps to Foot Locker."
action: exit direction: straight distance: 49 steps landmark: elevator,"Exit the elevator and walk straight for 49 steps."
action: exit direction: straight distance: 50 steps landmark: Vans,"Exit the elevator and walk straight for 50 steps to the Vans store."
action: exit direction: straight distance: 51 steps landmark: elevator,"Exit the elevator and walk straight for 51 steps."
action: exit direction: straight distance: 52 steps landmark: Converse,"Exit the elevator and walk straight for 52 steps to the Converse store."
action: exit direction: straight distance: 53 steps landmark: elevator,"Exit the elevator and walk straight for 53 steps."
action: exit direction: straight distance: 54 steps landmark: Disney Store,"Exit the elevator and walk straight for 54 steps to the Disney Store."
action: exit direction: left distance: 5 steps landmark: elevator,"Exit the elevator and turn left for 5 steps."
action: exit direction: left distance: 6 steps landmark: elevator,"Step out of the elevator and turn left for 6 steps."
action: exit direction: left distance: 7 steps landmark: elevator,"Leave the elevator and turn left for 7 steps."
action: exit direction: left distance: 8 steps landmark: elevator,"Exit the elevator, turn left, and walk 8 steps."
action: exit direction: left distance: 9 steps landmark: elevator,"Exit the elevator and walk 9 steps to the left."
action: exit direction: left distance: 10 steps landmark: elevator,"Step out of the elevator and walk left for 10 steps."
action: exit direction: left distance: 11 steps landmark: elevator,"Exit the elevator and turn left for 11 steps."
action: exit direction: left distance: 12 steps landmark: elevator,"Step out of the elevator and turn left for 12 steps."
action: exit direction: left distance: 13 steps landmark: elevator,"Leave the elevator and turn left for 13 steps."
action: exit direction: left distance: 14 steps landmark: elevator,"Exit the elevator, turn left, and walk 14 steps."
action: exit direction: left distance: 15 steps landmark: elevator,"Exit the elevator and walk 15 steps to the left."
action: exit direction: left distance: 16 steps landmark: elevator,"Step out of the elevator and walk left for 16 steps."
action: exit direction: left distance: 17 steps landmark: elevator,"Exit the elevator and turn left for 17 steps."
action: exit direction: left distance: 18 steps landmark: elevator,"Step out of the elevator and turn left for 18 steps."
action: exit direction: left distance: 19 steps landmark: elevator,"Leave the elevator and turn left for 19 steps."
action: exit direction: left distance: 20 steps landmark: elevator,"Exit the elevator, turn left, and walk 20 steps."
action: exit direction: left distance: 21 steps landmark: elevator,"Exit the elevator and walk 21 steps to the left."
action: exit direction: left distance: 22 steps landmark: elevator,"Step out of the elevator and walk left for 22 steps."
action: exit direction: left distance: 23 steps landmark: elevator,"Exit the elevator and turn left for 23 steps."
action: exit direction: left distance: 24 steps landmark: elevator,"Step out of the elevator and turn left for 24 steps."
action: exit direction: left distance: 25 steps landmark: elevator,"Leave the elevator and turn left for 25 steps."
action: exit direction: left distance: 26 steps landmark: elevator,"Exit the elevator, turn left, and walk 26 steps."
action: exit direction: left distance: 27 steps landmark: elevator,"Exit the elevator and walk 27 steps to the left."
action: exit direction: left distance: 28 steps landmark: elevator,"Step out of the elevator and walk left for 28 steps."
action: exit direction: left distance: 29 steps landmark: elevator,"Exit the elevator and turn left for 29 steps."
action: exit direction: left distance: 30 steps landmark: elevator,"Step out of the elevator and turn left for 30 steps."
action: exit direction: left distance: 31 steps landmark: elevator,"Leave the elevator and turn left for 31 steps."
action: exit direction: left distance: 32 steps landmark: elevator,"Exit the elevator, turn left, and walk 32 steps."
action: exit direction: left distance: 33 steps landmark: elevator,"Exit the elevator and walk 33 steps to the left."
action: exit direction: left distance: 34 steps landmark: elevator,"Step out of the elevator and walk left for 34 steps."
action: exit direction: left distance: 35 steps landmark: elevator,"Exit the elevator and turn left for 35 steps."
action: exit direction: left distance: 36 steps landmark: elevator,"Step out of the elevator and turn left for 36 steps."
action: exit direction: left distance: 37 steps landmark: elevator,"Leave the elevator and turn left for 37 steps."
action: exit direction: left distance: 38 steps landmark: elevator,"Exit the elevator, turn left, and walk 38 steps."
action: exit direction: left distance: 39 steps landmark: elevator,"Exit the elevator and walk 39 steps to the left."
action: exit direction: left distance: 40 steps landmark: elevator,"Step out of the elevator and walk left for 40 steps."
action: exit direction: left distance: 41 steps landmark: elevator,"Exit the elevator and turn left for 41 steps."
action: exit direction: left distance: 42 steps landmark: elevator,"Step out of the elevator and turn left for 42 steps."
action: exit direction: left distance: 43 steps landmark: elevator,"Leave the elevator and turn left for 43 steps."
action: exit direction: left distance: 44 steps landmark: elevator,"Exit the elevator, turn left, and walk 44 steps."
action: exit direction: left distance: 45 steps landmark: elevator,"Exit the elevator and walk 45 steps to the left."
action: exit direction: left distance: 46 steps landmark: elevator,"Step out of the elevator and walk left for 46 steps."
action: exit direction: left distance: 47 steps landmark: elevator,"Exit the elevator and turn left for 47 steps."
action: exit direction: left distance: 48 steps landmark: elevator,"Step out of the elevator and turn left for 48 steps."
action: exit direction: left distance: 49 steps landmark: elevator,"Leave the elevator and turn left for 49 steps."
action: exit direction: left distance: 50 steps landmark: elevator,"Exit the elevator, turn left, and walk 50 steps."
action: exit direction: left distance: 3 steps landmark: elevator,"Exit the elevator and turn left for 3 steps."
action: exit direction: left distance: 4 steps landmark: elevator,"Step out of the elevator and turn left for 4 steps."
action: exit direction: left distance: 55 steps landmark: elevator,"Exit the elevator, turn left, and walk 55 steps."
action: exit direction: left distance: 60 steps landmark: elevator,"Exit the elevator and walk 60 steps to the left."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: continue distance: 20 steps landmark: elevator,"Walk straight for 20 steps to the elevator."
action: stop landmark: elevator,"Stop. You are at the elevator."
action: board direction: down landmark: elevator,"Step inside the elevator and go down to the basement."
action: exit direction: straight distance: 3 steps landmark: elevator,"Exit the elevator and walk straight for 3 steps."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: continue distance: 25 steps landmark: parking,"Walk straight for 25 steps to reach the parking lot."
action: continue distance: 15 steps,"Walk straight for 15 steps."
action: turn direction: right distance: 8 steps,"Turn right and take 8 steps."
action: stop landmark: elevator,"Stop here in front of the elevator."
action: board direction: down landmark: elevator,"Enter the elevator and descend to the basement floor."
action: exit direction: straight distance: 5 steps landmark: elevator,"Step out and walk forward for 5 steps."
action: continue distance: 40 steps landmark: supermarket,"Walk forward for 40 steps to the supermarket entrance."
action: turn direction: left distance: 6 steps,"Turn left and walk 6 steps."
action: continue distance: 18 steps landmark: elevator,"Continue forward for 18 steps until you reach the elevator."
action: board direction: down landmark: elevator,"Board the elevator and ride down to the basement."
action: exit direction: straight distance: 10 steps landmark: elevator,"Walk out of the elevator and continue straight for 10 steps."
action: stop landmark: gym,"Stop. You have reached the gym."
action: continue distance: 12 steps,"Continue straight for 12 steps."
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: continue distance: 15 steps landmark: elevator,"Walk straight for 15 steps to the elevator doors."
action: board direction: down landmark: elevator,"Step onto the elevator to go down."
action: exit direction: straight distance: 7 steps landmark: elevator,"Exit the elevator and walk 7 steps straight ahead."
action: continue distance: 35 steps landmark: food court,"Walk straight for 35 steps to the food court."
action: stop landmark: elevator,"Stop at the elevator."
action: board direction: down landmark: elevator,"Enter the elevator and go to the basement level."
action: exit direction: straight distance: 4 steps landmark: elevator,"Exit and walk forward 4 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: continue distance: 10 steps landmark: washroom,"Walk straight for 10 steps to reach the washroom."
action: continue distance: 22 steps,"Walk forward for 22 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk for 9 steps."
action: continue distance: 6 steps landmark: elevator,"Take 6 steps forward to the elevator."
action: board direction: down landmark: elevator,"Step into the elevator and select the basement level."
action: exit direction: straight distance: 8 steps landmark: elevator,"Walk out and go straight for 8 steps."
action: turn direction: left distance: 14 steps landmark: cinema,"Turn left and walk 14 steps to reach the cinema."
action: stop landmark: elevator,"Stop. The elevator is directly ahead."
action: board direction: down landmark: elevator,"Get into the elevator and descend to the basement."
action: exit direction: straight distance: 2 steps landmark: elevator,"Step out and take 2 steps forward."
action: continue distance: 50 steps landmark: Zara,"Walk straight for 50 steps to reach Zara."
action: continue distance: 11 steps,"Walk straight for 11 steps."
action: turn direction: left distance: 7 steps,"Turn left and walk 7 steps."
action: continue distance: 13 steps landmark: elevator,"Walk 13 steps to the elevator."
action: board direction: down landmark: elevator,"Step in the elevator and go down."
action: exit direction: straight distance: 9 steps landmark: elevator,"Walk out of the elevator and continue straight for 9 steps."
action: turn direction: right distance: 18 steps landmark: pharmacy,"Turn right and walk 18 steps to the pharmacy."
action: stop landmark: elevator,"Stop here at the elevator door."
action: board direction: down landmark: elevator,"Board the elevator to reach the basement level."
action: exit direction: straight distance: 12 steps landmark: elevator,"Exit the elevator and walk forward for 12 steps."
action: stop landmark: information desk,"Stop. You have arrived at the information desk."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: continue distance: 25 steps,"Continue forward for 25 steps."
action: continue distance: 50 steps,"Keep walking straight for 50 steps."
action: continue distance: 15 steps,"Walk forward for 15 steps."
action: continue distance: 30 steps,"Go straight for 30 steps."
action: continue distance: 40 steps,"Continue straight for 40 steps."
action: turn direction: left distance: 5 steps,"Turn left and take 5 steps."
action: turn direction: right distance: 8 steps,"Turn right and walk for 8 steps."
action: turn direction: left distance: 12 steps,"Make a left turn and walk 12 steps."
action: turn direction: right distance: 10 steps,"Turn right and take 10 steps."
action: turn direction: left distance: 4 steps,"Turn left and walk 4 steps."
action: turn direction: right distance: 6 steps,"Make a right turn and walk 6 steps."
action: stop landmark: elevator,"Stop here at the elevator."
action: continue distance: 12 steps landmark: elevator,"Walk straight for 12 steps to reach the elevator."
action: continue distance: 20 steps landmark: elevator,"Continue forward for 20 steps until you reach the elevator."
action: continue distance: 5 steps landmark: elevator,"Walk forward 5 steps to the elevator."
action: turn direction: left distance: 10 steps landmark: elevator,"Turn left and walk 10 steps to the elevator."
action: turn direction: right distance: 15 steps landmark: elevator,"Turn right and walk 15 steps to the elevator."
action: board direction: up landmark: elevator,"Enter the elevator and go up to the next floor."
action: board direction: up landmark: elevator,"Step into the elevator and select the up button."
action: board direction: up landmark: elevator,"Board the elevator to go up one level."
action: board direction: up landmark: elevator,"Get into the elevator and move up one floor."
action: board direction: up landmark: elevator,"Enter the elevator and travel up."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: straight distance: 10 steps landmark: elevator,"Step out of the elevator and walk forward 10 steps."
action: exit direction: straight distance: 3 steps landmark: elevator,"Move out of the elevator and take 3 steps forward."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and continue straight for 8 steps."
action: exit direction: straight distance: 12 steps landmark: elevator,"Walk straight out of the elevator for 12 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: turn direction: right distance: 25 steps,"Turn right and walk for 25 steps."
action: turn direction: left distance: 15 steps,"Make a left turn and walk 15 steps."
action: turn direction: right distance: 30 steps,"Turn right and walk for 30 steps."
action: continue distance: 35 steps,"Continue straight for 35 steps."
action: continue distance: 45 steps,"Walk straight for 45 steps."
action: continue distance: 22 steps,"Keep walking forward for 22 steps."
action: turn direction: left distance: 7 steps,"Turn left and walk 7 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk 9 steps."
action: continue distance: 18 steps landmark: restaurant,"Walk straight for 18 steps to the restaurant."
action: continue distance: 28 steps landmark: restaurant,"Continue forward for 28 steps toward the restaurant."
action: continue distance: 10 steps landmark: restaurant,"Walk forward 10 steps to reach the restaurant."
action: continue distance: 40 steps landmark: restaurant,"Walk straight for 40 steps until you reach the restaurant."
action: turn direction: left distance: 5 steps landmark: restaurant,"Turn left and walk 5 steps to the restaurant."
action: turn direction: right distance: 12 steps landmark: restaurant,"Turn right and walk 12 steps to the restaurant."
action: turn direction: left distance: 8 steps landmark: restaurant,"Make a left turn and walk 8 steps to reach the restaurant."
action: turn direction: right distance: 4 steps landmark: restaurant,"Turn right and walk 4 steps to reach the restaurant."
action: stop landmark: restaurant,"Stop here. You have reached the restaurant."
action: stop landmark: restaurant,"You have arrived at the restaurant. Please stop."
action: stop landmark: restaurant,"Stop. The restaurant is directly in front of you."
action: stop landmark: restaurant,"You are at the restaurant entrance. Stop here."
action: stop landmark: restaurant,"Destination reached. Stop at the restaurant."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: left distance: 3 steps landmark: elevator,"Exit the elevator and turn left for 3 steps."
action: exit direction: right distance: 3 steps landmark: elevator,"Exit the elevator and turn right for 3 steps."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and walk forward for 8 steps."
action: exit direction: left distance: 5 steps landmark: elevator,"Step out of the elevator and walk 5 steps to your left."
action: exit direction: right distance: 5 steps landmark: elevator,"Step out of the elevator and walk 5 steps to your right."
action: exit direction: straight distance: 10 steps landmark: elevator,"Exit the elevator and continue straight for 10 steps."
action: exit direction: left distance: 2 steps landmark: elevator,"Exit the elevator and take 2 steps to the left."
action: exit direction: right distance: 2 steps landmark: elevator,"Exit the elevator and take 2 steps to the right."
action: exit direction: straight distance: 4 steps landmark: elevator,"Exit the elevator and move forward 4 steps."
action: turn direction: left distance: 4 steps,"Turn left and walk for 4 steps."
action: turn direction: right distance: 4 steps,"Turn right and walk for 4 steps."
action: turn direction: left distance: 6 steps,"Make a left turn and take 6 steps."
action: turn direction: right distance: 6 steps,"Make a right turn and take 6 steps."
action: turn direction: left distance: 3 steps,"Turn left and walk forward 3 steps."
action: turn direction: right distance: 3 steps,"Turn right and walk forward 3 steps."
action: turn direction: left distance: 5 steps,"Take a left turn and walk for 5 steps."
action: turn direction: right distance: 5 steps,"Take a right turn and walk for 5 steps."
action: turn direction: left distance: 2 steps,"Turn left and take 2 steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 steps."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: continue distance: 15 steps,"Continue straight for 15 steps."
action: continue distance: 8 steps,"Walk forward for 8 steps."
action: continue distance: 12 steps,"Keep walking straight for 12 steps."
action: continue distance: 20 steps,"Continue forward for 20 steps."
action: turn direction: left distance: 5 steps,"Turn left and walk 5 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: turn direction: left distance: 3 steps,"Make a left turn and walk for 3 steps."
action: turn direction: right distance: 3 steps,"Make a right turn and walk for 3 steps."
action: turn direction: left distance: 4 steps,"Turn left and take 4 steps."
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: turn direction: left distance: 2 steps,"Turn left and take 2 quick steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 quick steps."
action: continue distance: 10 steps landmark: cinema,"Continue straight for 10 steps toward the cinema."
action: continue distance: 15 steps landmark: cinema,"Walk straight for 15 steps to reach the cinema."
action: continue distance: 5 steps landmark: cinema,"Walk forward for 5 steps to the cinema."
action: continue distance: 8 steps landmark: cinema,"Continue for 8 steps to arrive at the cinema."
action: continue distance: 12 steps landmark: cinema,"Walk forward for 12 steps to reach the cinema entrance."
action: continue distance: 6 steps landmark: cinema,"Take 6 steps forward to reach the cinema."
action: continue distance: 25 steps landmark: cinema,"Continue straight for 25 steps to the cinema."
action: stop landmark: cinema,"Stop. You have reached the cinema."
action: stop landmark: cinema,"Stop here. You have arrived at the cinema."
action: stop landmark: cinema,"Stop. The cinema is directly in front of you."
action: stop landmark: cinema,"Stop walking. You are at the cinema entrance."
action: stop landmark: cinema,"You have reached your destination. Stop here for the cinema."
action: stop landmark: cinema,"Stop. The cinema is right here."
action: stop landmark: cinema,"Arrived at the cinema. Stop here."
action: stop landmark: cinema,"Destination reached. Stop for the cinema."
action: stop landmark: cinema,"Stop walking. The cinema is in front of you."
action: stop landmark: cinema,"Stop here. The cinema entrance is reached."
action: continue distance: 100 steps,"Walk straight for 100 steps."
action: continue distance: 120 steps,"Continue forward for 120 steps."
action: continue distance: 85 steps,"Walk straight for 85 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: turn direction: left distance: 4 steps,"Turn left and take 4 steps."
action: stop landmark: service elevator,"Stop. You have reached the service elevator."
action: board landmark: service elevator,"Step into the service elevator."
action: continue distance: 150 steps,"Walk straight for 150 steps."
action: continue distance: 75 steps,"Continue straight for 75 steps."
action: continue distance: 110 steps,"Take 110 steps straight ahead."
action: turn direction: right distance: 8 steps,"Turn right and walk for 8 steps."
action: stop landmark: service elevator,"Stop here. The service elevator is in front of you."
action: board direction: up landmark: service elevator,"Step onto the service elevator going up."
action: continue distance: 90 steps,"Walk straight for 90 steps."
action: continue distance: 130 steps,"Continue straight for 130 steps."
action: turn direction: left distance: 3 steps,"Turn left and walk for 3 steps."
action: stop landmark: service elevator,"You have arrived at the service elevator. Stop."
action: board direction: down landmark: service elevator,"Step into the service elevator going down."
action: continue distance: 140 steps,"Walk forward for 140 steps."
action: continue distance: 60 steps,"Continue straight for 60 steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 steps."
action: stop landmark: service elevator,"Stop. The service elevator is directly ahead."
action: board landmark: service elevator,"Board the service elevator."
action: continue distance: 115 steps,"Walk straight for 115 steps."
action: continue distance: 95 steps,"Continue forward for 95 steps."
action: turn direction: left distance: 6 steps,"Turn left and walk for 6 steps."
action: continue distance: 10 steps landmark: service elevator,"Walk straight for 10 steps to reach the service elevator."
